2022-11-14 17:34:14,578 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 17:34:18,866 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 17:34:23,151 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 17:34:27,437 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 17:34:31,731 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 17:34:36,020 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 17:34:40,304 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 17:34:44,592 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 17:34:48,882 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 17:34:53,166 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
